gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
NAT16 | AMEX60DD013412,0.93983084,0.8725544,0.06727642,,,VLMC
ATP1A1 | AMEX60DD046884,1.8843399,1.817329,0.06701088,,,VLMC
ATP5PD | AMEX60DD030920,0.59160036,0.5247262,0.06687415,,,VLMC
FGF14 | AMEX60DD048162,0.59130526,0.5244811,0.06682414,,,VLMC
DNM1 | AMEX60DD050279,0.98759556,0.9208929,0.066702664,,,VLMC
AMEX60DD038951,0.5366673,0.4699854,0.06668189,,,VLMC
AMEX60DD029057,0.47338006,0.40698683,0.06639323,,,VLMC
H355_014607[nr]|OAZ1[hs] | AMEX60DD014480,1.0642339,0.99806696,0.06616694,,,VLMC
D4764_08G0001950[nr] | AMEX60DD043225,0.53755885,0.47139466,0.066164196,,,VLMC
PAM | AMEX60DD042671,0.74422646,0.6782776,0.065948844,,,VLMC
SARS1[nr] | AMEX60DD008585,0.52696687,0.46102184,0.06594503,,,VLMC
D9C73_000132[nr] | AMEX60DD013960,0.41570327,0.34977108,0.065932184,,,VLMC
LOC107382384[nr]|TOMM20[hs] | AMEX60DD055237,0.55429035,0.48917508,0.06511527,,,VLMC
AMEX60DD023200,1.2893047,1.2247524,0.06455231,,,VLMC
CCK | AMEX60DD022038,0.45300457,0.3888102,0.06419438,,,VLMC
AMEX60DD005770,0.72488487,0.66071016,0.06417471,,,VLMC
BCL11B | AMEX60DD011386,0.5070759,0.44295627,0.06411964,,,VLMC
STMN3 | AMEX60DD027088,1.233975,1.1699317,0.0640434,,,VLMC
FAM168B | AMEX60DD002690,0.9795241,0.91619337,0.06333071,,,VLMC
FADS1 | AMEX60DD004594,0.36542287,0.30209544,0.06332743,,,VLMC
GNB4 | AMEX60DD001624,0.5967518,0.5336187,0.06313312,,,VLMC
TSSK6 | AMEX60DD013925,0.56068105,0.49763912,0.063041925,,,VLMC
FKBP1A | AMEX60DDU001019681,1.2302095,1.1671748,0.06303465,,,VLMC
LRRC61 | AMEX60DD026106,0.40510532,0.342237,0.06286833,,,VLMC
DNER | AMEX60DD002010,1.4683589,1.4055016,0.06285727,,,VLMC
ELAPOR2 | AMEX60DD006247,0.3744927,0.3116622,0.06283051,,,VLMC
PARPI_0003670[nr]|DPYSL2[hs] | AMEX60DD001450,0.88064045,0.8178642,0.06277627,,,VLMC
FIP1L1 | AMEX60DD045556,0.2852978,0.2227337,0.062564105,,,VLMC
SPTBN1 | AMEX60DD035674,1.0867577,1.0241947,0.06256294,,,VLMC
EEF2 | AMEX60DD014307,2.155912,2.0934687,0.062443256,,,VLMC
U2AF2 | AMEX60DD016464,0.8991592,0.8367261,0.062433064,,,VLMC
HSD17B12 | AMEX60DDU001001045,0.5579989,0.49558008,0.06241882,,,VLMC
PDCD5 | AMEX60DD016940,0.4822647,0.41991475,0.062349945,,,VLMC
CD99L2 | AMEX60DD037306,0.50958323,0.44738555,0.062197685,,,VLMC
SCG5 | AMEX60DD012131,0.67722297,0.61505187,0.0621711,,,VLMC
PAWR | AMEX60DD007620,0.637433,0.5757128,0.061720192,,,VLMC
LOC113071349[nr]|SNRPN[hs] | AMEX60DD034230,0.56145877,0.49986032,0.06159845,,,VLMC
ATP6V1C1 | AMEX60DD040243,0.5421404,0.48059,0.06155044,,,VLMC
AMEX60DD026824,0.98968965,0.9281407,0.06154895,,,VLMC
AMEX60DD030054,0.5006749,0.43962473,0.061050177,,,VLMC
EIF3F | AMEX60DD015751,0.53673095,0.47583994,0.060891002,,,VLMC
ATP6V0A1 | AMEX60DD010030,0.6444679,0.5836677,0.060800195,,,VLMC
LOC115381268[nr]|GDI2[hs] | AMEX60DD008114,0.4648986,0.40419087,0.060707718,,,VLMC
