gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
PABPC1,0.34080353,0.34411374,-0.0033102036,,,tumor|nontumor
MCL1,0.18489288,0.1882056,-0.0033127218,,,tumor|nontumor
VSNL1,0.024971567,0.028292798,-0.0033212304,,,tumor|nontumor
TBL1XR1,0.0690485,0.072371505,-0.0033230036,,,tumor|nontumor
UBE2T,0.021701409,0.02503078,-0.003329372,,,tumor|nontumor
CIAO2A,0.033977803,0.037321307,-0.003343504,,,tumor|nontumor
DNAJC10,0.038668364,0.042014856,-0.0033464916,,,tumor|nontumor
ELOB,0.08098453,0.08434483,-0.0033602938,,,tumor|nontumor
LAPTM4A,0.21517423,0.21853727,-0.003363043,,,tumor|nontumor
CYCS,0.12517512,0.12854579,-0.0033706725,,,tumor|nontumor
SERP1,0.08790909,0.09128429,-0.0033752024,,,tumor|nontumor
NDUFAB1,0.06849494,0.07187404,-0.003379099,,,tumor|nontumor
ASAH1,0.033050567,0.036430616,-0.003380049,,,tumor|nontumor
FUS,0.08698523,0.09041763,-0.0034324005,,,tumor|nontumor
LENG8,0.052174374,0.055636838,-0.0034624636,,,tumor|nontumor
CAPNS2,0.026941702,0.030406523,-0.0034648217,,,tumor|nontumor
ATP5IF1,0.0906908,0.094173536,-0.0034827366,,,tumor|nontumor
REEP5,0.07332364,0.076810256,-0.0034866184,,,tumor|nontumor
PDIA4,0.08180868,0.08533748,-0.0035288036,,,tumor|nontumor
MRPS21,0.056315012,0.059857383,-0.003542371,,,tumor|nontumor
RUVBL1,0.024884598,0.028435282,-0.003550684,,,tumor|nontumor
MYBL2,0.020992741,0.024546504,-0.003553763,,,tumor|nontumor
MCM3,0.031764913,0.03533138,-0.0035664663,,,tumor|nontumor
PARK7,0.05950651,0.06307428,-0.0035677738,,,tumor|nontumor
NR2F6,0.045515988,0.04908718,-0.0035711937,,,tumor|nontumor
FKBP11,0.021375053,0.024955409,-0.003580356,,,tumor|nontumor
IMPA2,0.0819159,0.085501246,-0.003585346,,,tumor|nontumor
COPRS,0.04348361,0.047072574,-0.0035889633,,,tumor|nontumor
ATOX1,0.048270818,0.05186922,-0.0035984032,,,tumor|nontumor
NNMT,0.085574724,0.089203976,-0.0036292523,,,tumor|nontumor
PSMB4,0.09766077,0.1012914,-0.0036306307,,,tumor|nontumor
MRPS15,0.049232535,0.052886054,-0.0036535189,,,tumor|nontumor
HSD17B12,0.024561768,0.028215615,-0.0036538467,,,tumor|nontumor
FSTL1,0.03971916,0.043396365,-0.0036772043,,,tumor|nontumor
MARCKS,0.10648845,0.110175796,-0.0036873445,,,tumor|nontumor
OAS3,0.050676618,0.05436522,-0.0036886036,,,tumor|nontumor
ENSA,0.090034716,0.0937285,-0.0036937818,,,tumor|nontumor
FKBP1A,0.169214,0.17291287,-0.0036988705,,,tumor|nontumor
HNRNPU,0.14416222,0.14786515,-0.0037029237,,,tumor|nontumor
