gene,total,composition,within_celltype,pct_composition
CD68,-0.0021051899233422607,0.0006302068682960335,-0.002735396791638294,-29.93586760549845
CD74,-0.14031970078764164,-0.0788968365464923,-0.061422864241149344,56.22648573481064
CD81,0.0033780251789069723,0.006258014390251675,-0.0028799892113447025,185.25659398064585
CDC37,0.00446008330416517,0.004120751790678867,0.0003393315134863033,92.39181220742202
CDC42SE1,0.010070411768642342,0.005371171928099543,0.0046992398405427994,53.33616987564021
CDC42SE2,-0.011035178580848383,-0.01024930688200842,-0.0007858716988399628,92.87848680397572
CDH3,0.024537060732429457,0.02203926300747054,0.0024977977249589158,89.82030589483891
CDK2AP2,0.011135550645609373,0.012934532028138723,-0.0017989813825293496,116.15529792627426
CDK4,0.004839755865649711,0.006419289300337527,-0.0015795334346878163,132.6366345438743
CDKN1A,0.010606953314686541,0.007976482719245042,0.0026304705954414993,75.20050746523687
CDV3,-0.0036332036660685282,-0.00010754233028312807,-0.0035256613357854,2.9599862866894853
CDYL2,-0.023875495306833656,-0.005000932263911986,-0.01887456304292167,20.945878607513606
CEBPB,0.012753797337265765,0.014376268339806372,-0.0016224710025406074,112.72147392369057
CELF1,0.0025743003901485245,-0.00026387367925088685,0.0028381740693994113,-10.250306462318589
CFL1,0.01532437248217289,0.02937594816470787,-0.014051575682534982,191.6942974264129
CFLAR,-0.0025367696147644506,0.0008210900469562913,-0.003357859661720742,-32.36754501383969
CHASERR,-0.0033555888529458355,-0.003051134837275348,-0.0003044540156704874,90.92695711504673
CHCHD10,-0.0026110894774059256,0.00043267665982152544,-0.003043766137227451,-16.570732775170256
CHCHD2,0.024849781177955915,0.031408961714060026,-0.0065591805361041085,126.39532513035856
CHMP3,0.004849985964164826,0.003414861270752545,0.0014351246934122814,70.40971450193852
CHMP4B,0.005390443658257251,0.0035937674757514533,0.0017966761825057972,66.66923362136264
CHST11,0.0052708857750270455,-0.0008423908663994055,0.006113276641426451,-15.98196019330514
CIAO2A,-0.003895765685637533,-0.00019986907272306767,-0.0036958966129144654,5.130418224584766
CIB1,0.004730651753363549,0.002876065515390878,0.0018545862379726716,60.796390546946554
CIRBP,-0.0075437723295846614,-0.004043708078399332,-0.0035000642511853293,53.60326242271375
CKAP4,0.01693153073963221,0.011461634316915346,0.005469896422716865,67.69402302230542
CKS1B,0.009913923785079989,0.0119026979098824,-0.0019887741248024128,120.06041369609304
CLCA2,0.031693504232542816,0.032682037193661,-0.0009885329611181866,103.11903964252448
