side,source,term_id,term_name,p_value,intersection_size
dent,GO:BP,GO:0009201,ribonucleoside triphosphate biosynthetic process,0.0002980498446176839,7
dent,GO:CC,GO:0045277,respiratory chain complex IV,0.00030218861541622346,4
dent,GO:CC,GO:0045202,synapse,0.0003399985513575744,19
dent,GO:BP,GO:0002478,antigen processing and presentation of exogenous peptide antigen,0.0003401009629262637,5
dent,GO:MF,GO:0003676,nucleic acid binding,0.000433504605509862,40
dent,GO:BP,GO:0009142,nucleoside triphosphate biosynthetic process,0.0004927678496164436,7
dent,GO:CC,GO:0012507,ER to Golgi transport vesicle membrane,0.0005426448035624463,5
dent,GO:CC,GO:0005791,rough endoplasmic reticulum,0.0005895418178328163,5
dent,GO:CC,GO:0043228,membraneless organelle,0.0006006042502380931,44
dent,GO:CC,GO:0043232,intracellular membraneless organelle,0.0006006042502380931,44
dent,GO:BP,GO:0002501,peptide antigen assembly with MHC protein complex,0.0006639366021877845,4
dent,GO:BP,GO:0002396,MHC protein complex assembly,0.0006639366021877845,4
dent,GO:CC,GO:0031966,mitochondrial membrane,0.0007212824523902501,13
dent,GO:BP,GO:0000028,ribosomal small subunit assembly,0.0008387745906225746,4
dent,GO:CC,GO:0098796,membrane protein complex,0.0009985520336454358,17
dent,GO:BP,GO:0019884,antigen processing and presentation of exogenous antigen,0.0010143762848577095,5
dent,GO:CC,GO:0098553,lumenal side of endoplasmic reticulum membrane,0.0010519884217723456,4
dent,GO:BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",0.0012883638255589871,4
dent,GO:CC,GO:0005740,mitochondrial envelope,0.0013843948398492038,13
dent,GO:CC,GO:0043226,organelle,0.0014338488694081593,72
dent,GO:BP,GO:0001906,cell killing,0.0014523590766718545,8
dent,GO:BP,GO:0019730,antimicrobial humoral response,0.0014552148103441247,7
dent,GO:BP,GO:0030490,maturation of SSU-rRNA,0.001867175167041454,5
dent,GO:BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",0.001867175167041454,5
dent,GO:BP,GO:0009152,purine ribonucleotide biosynthetic process,0.002157918862330562,7
dent,GO:CC,GO:0098576,lumenal side of membrane,0.0033001854099782998,4
dent,GO:BP,GO:0006695,cholesterol biosynthetic process,0.0037880982786880507,5
dent,GO:BP,GO:1902653,secondary alcohol biosynthetic process,0.0037880982786880507,5
dent,GO:CC,GO:0043227,membrane-bounded organelle,0.003955923973631153,69
dent,GO:CC,GO:0030134,COPII-coated ER to Golgi transport vesicle,0.004035424643244928,5
dent,GO:BP,GO:0009260,ribonucleotide biosynthetic process,0.004107476690177374,7
dent,GO:CC,GO:0005783,endoplasmic reticulum,0.005093645095475629,20
dent,GO:BP,GO:0046390,ribose phosphate biosynthetic process,0.005143349445882046,7
dent,GO:BP,GO:0048002,antigen processing and presentation of peptide antigen,0.006513245711084057,5
dent,GO:BP,GO:0016126,sterol biosynthetic process,0.007003160499540102,5
dent,GO:BP,GO:0006164,purine nucleotide biosynthetic process,0.007610128786589324,7
dent,GO:MF,GO:0004129,cytochrome-c oxidase activity,0.008310682512617105,3
dent,GO:CC,GO:0031967,organelle envelope,0.009930953486285534,15
dent,GO:BP,GO:0002449,lymphocyte mediated immunity,0.01045717481849949,9
dent,GO:CC,GO:0043233,organelle lumen,0.010461153037426368,40
dent,GO:CC,GO:0070013,intracellular organelle lumen,0.010461153037426368,40
dent,GO:CC,GO:0031974,membrane-enclosed lumen,0.010461153037426368,40
dent,REAC,REAC:R-HSA-9837999,Mitochondrial protein degradation,0.015329661143450182,6
dent,GO:MF,GO:0008324,monoatomic cation transmembrane transporter activity,0.0159979570667061,11
