gene,mean_bulge,mean_dent,lfc
DNAJA4,0.025335167,0.024502913,0.00083225407
CAVIN1,0.105961874,0.10513199,0.0008298829
IL15RA,0.026263246,0.02543494,0.0008283071
ARMC10,0.025532348,0.024706068,0.00082628056
SPSB3,0.024055779,0.023231663,0.00082411617
PPHLN1,0.034509774,0.033686817,0.0008229576
NSFL1C,0.037376527,0.03655459,0.0008219369
NUP133,0.030535255,0.029716507,0.000818748
SLC25A36,0.027120106,0.026303038,0.0008170679
TTC3,0.033262916,0.032445945,0.00081697106
YIPF3,0.039448965,0.03863351,0.00081545487
IMP4,0.026719198,0.025905099,0.00081409886
MRPL17,0.023865376,0.023053922,0.0008114539
SELENOS,0.046549574,0.045745805,0.00080376863
RPL5,0.1973848,0.19658472,0.00080008805
RNH1,0.035952784,0.035157293,0.00079549104
CTNNB1,0.087097235,0.086304575,0.0007926598
CDH1,0.038363047,0.037570763,0.00079228356
SLFN5,0.032616507,0.031830095,0.0007864125
FBRS,0.024746032,0.02395971,0.0007863231
SNHG17,0.026617462,0.025832936,0.00078452565
BTG2,0.0262188,0.025435947,0.000782853
PKP4,0.028440828,0.027658474,0.0007823538
POLR2K,0.048882708,0.04810095,0.0007817596
SBDS,0.03465634,0.03387635,0.0007799901
MX2,0.044231728,0.043452777,0.00077895075
NUP153,0.028011482,0.027234705,0.00077677704
SARAF,0.054982983,0.05420735,0.0007756315
PPIE,0.040129613,0.039354693,0.00077492
CNOT6,0.029642018,0.028868757,0.00077326037
BECN1,0.043976508,0.04320875,0.00076775625
UBP1,0.030335125,0.029568812,0.0007663127
CBX4,0.02516749,0.024405852,0.00076163746
EIF2AK1,0.095399894,0.09463884,0.00076105446
ETFA,0.02388559,0.023124656,0.0007609334
PRAME,0.022221753,0.021463333,0.0007584207
CCDC47,0.03385812,0.033100385,0.0007577352
PSMG2,0.032842834,0.0320853,0.00075753406
MIER1,0.0328732,0.032119974,0.0007532239
PPP2R2A,0.034202375,0.03345465,0.00074772537
HCP5,0.023648368,0.022902474,0.0007458944
B4GALT2,0.05253727,0.051796194,0.0007410757
CSNK1D,0.029601038,0.028865352,0.00073568523
AGAP3,0.032248043,0.03151295,0.0007350929
ORC2,0.022577854,0.021848317,0.00072953664
CDC25B,0.057713937,0.056984663,0.000729274
RPS6KA4,0.02678243,0.026054371,0.00072805956
SAR1A,0.03597485,0.035247345,0.0007275045
SLC39A4,0.026159812,0.025432553,0.0007272586
