gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface,dataset,specimen
ATCG00750,0.19111687,0.1500045,0.041112363,,,epidermis|rest,acsta_arabidopsis,
AT2G27080,0.2503428,0.20936117,0.04098162,,,epidermis|rest,acsta_arabidopsis,
AT3G52800,0.5317225,0.49173188,0.039990604,,,epidermis|rest,acsta_arabidopsis,
AT1G17220,0.2575077,0.21766481,0.039842904,,,epidermis|rest,acsta_arabidopsis,
AT1G66970,0.18716858,0.14780957,0.03935902,,,epidermis|rest,acsta_arabidopsis,
AT1G48300,0.8556021,0.8162885,0.039313614,,,epidermis|rest,acsta_arabidopsis,
AT5G62520,0.2738452,0.23467277,0.039172426,,,epidermis|rest,acsta_arabidopsis,
ATCG00440,1.4365629,1.3977231,0.038839817,,,epidermis|rest,acsta_arabidopsis,
AT2G01010,4.314021,4.275302,0.038719177,,,epidermis|rest,acsta_arabidopsis,
AT4G35800,0.17321043,0.1344944,0.038716033,,,epidermis|rest,acsta_arabidopsis,
AT2G22500,0.15730248,0.118627675,0.03867481,,,epidermis|rest,acsta_arabidopsis,
AT3G57330,0.17337644,0.1351433,0.038233146,,,epidermis|rest,acsta_arabidopsis,
ATMG00090,0.24163991,0.20346184,0.03817807,,,epidermis|rest,acsta_arabidopsis,
AT5G45430,0.21079345,0.17269169,0.038101763,,,epidermis|rest,acsta_arabidopsis,
ATCG01110,0.24506962,0.20754738,0.03752224,,,epidermis|rest,acsta_arabidopsis,
AT4G17330,0.15324137,0.11573751,0.037503853,,,epidermis|rest,acsta_arabidopsis,
AT2G30020,0.50187224,0.46438012,0.037492126,,,epidermis|rest,acsta_arabidopsis,
AT5G20280,0.14569418,0.10820276,0.03749142,,,epidermis|rest,acsta_arabidopsis,
ATCG00650,0.33358732,0.2962311,0.037356228,,,epidermis|rest,acsta_arabidopsis,
AT3G08530,0.17703582,0.14058521,0.03645061,,,epidermis|rest,acsta_arabidopsis,
AT4G27500,0.21707635,0.18064669,0.03642966,,,epidermis|rest,acsta_arabidopsis,
AT4G23810,0.24727137,0.21107495,0.036196426,,,epidermis|rest,acsta_arabidopsis,
AT2G30930,0.36490852,0.32938904,0.03551948,,,epidermis|rest,acsta_arabidopsis,
ATCG00520,0.6117197,0.5764946,0.035225153,,,epidermis|rest,acsta_arabidopsis,
AT3G07360,0.16864145,0.13380697,0.034834474,,,epidermis|rest,acsta_arabidopsis,
AT3G14100,0.21319309,0.17839871,0.034794375,,,epidermis|rest,acsta_arabidopsis,
AT3G59350,0.18778229,0.1530564,0.03472589,,,epidermis|rest,acsta_arabidopsis,
AT1G66260,0.14879125,0.114164,0.03462725,,,epidermis|rest,acsta_arabidopsis,
AT3G61260,0.46055132,0.42614803,0.034403294,,,epidermis|rest,acsta_arabidopsis,
AT3G63540,0.15816759,0.123816736,0.03435085,,,epidermis|rest,acsta_arabidopsis,
AT1G69840,0.29341915,0.25920153,0.034217626,,,epidermis|rest,acsta_arabidopsis,
AT1G31540,0.17197217,0.13775492,0.034217253,,,epidermis|rest,acsta_arabidopsis,
AT4G28080,0.30204156,0.2681872,0.033854365,,,epidermis|rest,acsta_arabidopsis,
AT1G59910,0.14920403,0.11544582,0.03375821,,,epidermis|rest,acsta_arabidopsis,
AT4G17090,0.4364007,0.40276894,0.03363177,,,epidermis|rest,acsta_arabidopsis,
ATMG00060,0.15277681,0.11916553,0.033611275,,,epidermis|rest,acsta_arabidopsis,
AT2G28290,0.17457937,0.14132851,0.033250853,,,epidermis|rest,acsta_arabidopsis,
AT1G63770,0.23833881,0.20529993,0.033038884,,,epidermis|rest,acsta_arabidopsis,
AT1G20020,0.7358366,0.70283246,0.033004165,,,epidermis|rest,acsta_arabidopsis,
AT3G11130,0.18119432,0.14830731,0.03288701,,,epidermis|rest,acsta_arabidopsis,
AT3G21250,0.1568918,0.12409461,0.03279718,,,epidermis|rest,acsta_arabidopsis,
AT5G57350,0.21551235,0.18300906,0.032503292,,,epidermis|rest,acsta_arabidopsis,
AT4G30600,0.2309069,0.1988018,0.032105103,,,epidermis|rest,acsta_arabidopsis,
AT5G26742,0.29088134,0.25884423,0.03203711,,,epidermis|rest,acsta_arabidopsis,
AT1G10760,0.31669945,0.28477886,0.031920582,,,epidermis|rest,acsta_arabidopsis,
AT5G40890,0.37714392,0.34528127,0.031862646,,,epidermis|rest,acsta_arabidopsis,
AT4G18010,0.17507984,0.1434246,0.031655237,,,epidermis|rest,acsta_arabidopsis,
AT1G19380,0.1468307,0.115200415,0.031630278,,,epidermis|rest,acsta_arabidopsis,
ATCG00250,0.15183416,0.12046273,0.03137143,,,epidermis|rest,acsta_arabidopsis,
AT2G16660,0.17079587,0.1396879,0.031107977,,,epidermis|rest,acsta_arabidopsis,
AT1G13210,0.15946972,0.12840818,0.031061545,,,epidermis|rest,acsta_arabidopsis,
AT3G02840,0.17631583,0.14546409,0.030851737,,,epidermis|rest,acsta_arabidopsis,
AT2G36850,0.14937322,0.118558,0.030815221,,,epidermis|rest,acsta_arabidopsis,
AT2G35930,0.22342728,0.1928193,0.030607983,,,epidermis|rest,acsta_arabidopsis,
AT2G32690,0.23251066,0.20190603,0.03060463,,,epidermis|rest,acsta_arabidopsis,
AT2G32160,0.18296853,0.15257102,0.030397505,,,epidermis|rest,acsta_arabidopsis,
AT1G67920,0.18012017,0.14978309,0.03033708,,,epidermis|rest,acsta_arabidopsis,
AT1G56200,0.17345993,0.14335822,0.030101717,,,epidermis|rest,acsta_arabidopsis,
AT5G06600,0.13590121,0.10582826,0.03007295,,,epidermis|rest,acsta_arabidopsis,
AT1G30400,0.15450904,0.12459104,0.029918,,,epidermis|rest,acsta_arabidopsis,
AT2G24420,0.17142999,0.14153281,0.029897183,,,epidermis|rest,acsta_arabidopsis,
AT4G38552,0.14796056,0.11815641,0.029804148,,,epidermis|rest,acsta_arabidopsis,
AT1G21920,0.17927402,0.14949019,0.02978383,,,epidermis|rest,acsta_arabidopsis,
AT1G18210,0.271369,0.24162225,0.029746756,,,epidermis|rest,acsta_arabidopsis,
AT5G49720,0.22969528,0.19997674,0.029718533,,,epidermis|rest,acsta_arabidopsis,
AT2G31960,0.14588858,0.1161733,0.029715285,,,epidermis|rest,acsta_arabidopsis,
AT5G42050,0.51530766,0.48563758,0.02967009,,,epidermis|rest,acsta_arabidopsis,
AT1G70520,0.16117063,0.13150877,0.029661864,,,epidermis|rest,acsta_arabidopsis,
AT1G63880,0.22643869,0.19679523,0.029643461,,,epidermis|rest,acsta_arabidopsis,
AT5G46490,0.13611186,0.10685164,0.029260218,,,epidermis|rest,acsta_arabidopsis,
AT1G36160,0.1448554,0.11560311,0.029252283,,,epidermis|rest,acsta_arabidopsis,
AT5G59420,0.12956135,0.10034038,0.029220968,,,epidermis|rest,acsta_arabidopsis,
ATCG00770,0.22252655,0.19332668,0.029199868,,,epidermis|rest,acsta_arabidopsis,
AT2G45980,0.13855967,0.10947914,0.029080532,,,epidermis|rest,acsta_arabidopsis,
AT4G35830,0.22957051,0.20059362,0.028976887,,,epidermis|rest,acsta_arabidopsis,
AT2G31400,0.14432405,0.115404375,0.028919674,,,epidermis|rest,acsta_arabidopsis,
AT2G22430,0.16810468,0.13949886,0.028605819,,,epidermis|rest,acsta_arabidopsis,
AT1G72150,1.192086,1.16351,0.028576016,,,epidermis|rest,acsta_arabidopsis,
AT3G01290,0.31730992,0.28880554,0.028504372,,,epidermis|rest,acsta_arabidopsis,
AT5G64850,0.14524688,0.11688996,0.028356917,,,epidermis|rest,acsta_arabidopsis,
ATCG00780,0.21858224,0.19031996,0.028262287,,,epidermis|rest,acsta_arabidopsis,
AT4G39080,0.17934164,0.15109581,0.028245836,,,epidermis|rest,acsta_arabidopsis,
AT3G16370,0.31768486,0.2895433,0.028141558,,,epidermis|rest,acsta_arabidopsis,
AT2G35290,0.19952857,0.1715542,0.027974382,,,epidermis|rest,acsta_arabidopsis,
AT3G06510,0.15763016,0.12971713,0.027913034,,,epidermis|rest,acsta_arabidopsis,
AT1G69760,0.15335047,0.12553294,0.027817532,,,epidermis|rest,acsta_arabidopsis,
AT5G02020,0.3111188,0.28338143,0.02773738,,,epidermis|rest,acsta_arabidopsis,
AT3G57530,0.30282447,0.2753234,0.027501076,,,epidermis|rest,acsta_arabidopsis,
AT2G31141,0.19916481,0.17166889,0.02749592,,,epidermis|rest,acsta_arabidopsis,
AT3G59540,0.17449939,0.14713076,0.027368635,,,epidermis|rest,acsta_arabidopsis,
AT1G57720,0.18986836,0.16252834,0.027340025,,,epidermis|rest,acsta_arabidopsis,
AT3G26180,0.13951671,0.11223906,0.027277648,,,epidermis|rest,acsta_arabidopsis,
AT4G08920,0.29443556,0.26778603,0.026649535,,,epidermis|rest,acsta_arabidopsis,
ATMG00160,0.18921426,0.16269083,0.026523426,,,epidermis|rest,acsta_arabidopsis,
AT3G45780,0.29801875,0.2715455,0.026473254,,,epidermis|rest,acsta_arabidopsis,
AT1G20440,0.8493524,0.8229188,0.026433647,,,epidermis|rest,acsta_arabidopsis,
AT5G53460,0.30213362,0.2757878,0.02634582,,,epidermis|rest,acsta_arabidopsis,
AT1G75500,0.16657197,0.14032377,0.026248202,,,epidermis|rest,acsta_arabidopsis,
AT3G06500,0.164181,0.13794488,0.026236117,,,epidermis|rest,acsta_arabidopsis,
AT1G25440,0.25824654,0.2320193,0.026227236,,,epidermis|rest,acsta_arabidopsis,
AT3G61580,0.1816222,0.15553743,0.02608478,,,epidermis|rest,acsta_arabidopsis,
AT4G16950,0.2572347,0.23122098,0.026013717,,,epidermis|rest,acsta_arabidopsis,
AT3G13460,0.3038503,0.27814254,0.025707752,,,epidermis|rest,acsta_arabidopsis,
AT4G17140,0.15444288,0.12881799,0.025624886,,,epidermis|rest,acsta_arabidopsis,
AT4G15760,0.4010268,0.37550458,0.025522202,,,epidermis|rest,acsta_arabidopsis,
AT4G21570,0.19359303,0.1680993,0.025493726,,,epidermis|rest,acsta_arabidopsis,
AT1G48090,0.21223047,0.18702127,0.025209203,,,epidermis|rest,acsta_arabidopsis,
AT5G47910,0.1524799,0.1272829,0.025197,,,epidermis|rest,acsta_arabidopsis,
AT4G09010,0.13787271,0.112696305,0.025176406,,,epidermis|rest,acsta_arabidopsis,
AT4G15545,0.30567008,0.28049576,0.02517432,,,epidermis|rest,acsta_arabidopsis,
AT5G59730,0.23953973,0.21439818,0.025141552,,,epidermis|rest,acsta_arabidopsis,
AT4G02480,0.19860205,0.17346594,0.025136113,,,epidermis|rest,acsta_arabidopsis,
AT4G37980,0.14477395,0.119762085,0.02501186,,,epidermis|rest,acsta_arabidopsis,
AT1G06410,0.18143688,0.15648627,0.024950609,,,epidermis|rest,acsta_arabidopsis,
AT1G80070,0.19744268,0.17254387,0.024898812,,,epidermis|rest,acsta_arabidopsis,
AT1G80130,0.13531815,0.11044389,0.024874255,,,epidermis|rest,acsta_arabidopsis,
AT1G33050,0.14379713,0.119197935,0.024599195,,,epidermis|rest,acsta_arabidopsis,
AT3G46620,0.24876906,0.22419448,0.024574578,,,epidermis|rest,acsta_arabidopsis,
AT3G21670,0.1491903,0.124721475,0.024468832,,,epidermis|rest,acsta_arabidopsis,
AT5G60910,0.14403735,0.11963488,0.02440247,,,epidermis|rest,acsta_arabidopsis,
AT5G16110,0.30557397,0.2816315,0.02394247,,,epidermis|rest,acsta_arabidopsis,
AT1G68560,0.15775543,0.13382734,0.02392809,,,epidermis|rest,acsta_arabidopsis,
AT4G02970,0.25138652,0.22758628,0.023800239,,,epidermis|rest,acsta_arabidopsis,
AT1G70290,0.46700552,0.4432581,0.023747414,,,epidermis|rest,acsta_arabidopsis,
ATCG00290,0.37021327,0.34658667,0.023626596,,,epidermis|rest,acsta_arabidopsis,
AT3G46530,0.17037106,0.14677167,0.023599386,,,epidermis|rest,acsta_arabidopsis,
AT2G41100,0.45762935,0.43438977,0.023239583,,,epidermis|rest,acsta_arabidopsis,
AT3G57930,0.20802347,0.18481505,0.023208424,,,epidermis|rest,acsta_arabidopsis,
AT4G01800,0.12837793,0.10532902,0.023048908,,,epidermis|rest,acsta_arabidopsis,
AT3G47800,0.12944004,0.1064514,0.02298864,,,epidermis|rest,acsta_arabidopsis,
