gene,obs_lfc,null_sd,p_geomnull,interface,dataset,specimen
Ldha,0.0968469679945071,0.0287534255791883,0.0149253731343283,Gut,digital_mouse_embryo_seu3d,
Igfbp5,0.0792689465354315,0.0205111109379703,0.0049751243781094,Gut,digital_mouse_embryo_seu3d,
Npm1,-0.0954347632140082,0.0335387232278332,0.0099502487562189,Gut,digital_mouse_embryo_seu3d,
Nepn,-0.1008456501548687,0.0211154993553647,0.0049751243781094,Gut,digital_mouse_embryo_seu3d,
Cd44,-0.1015234331672619,0.02957367061453,0.3880597014925373,Gut,digital_mouse_embryo_seu3d,
Hspa8,-0.1032869168409127,0.0296619416375176,0.0049751243781094,Gut,digital_mouse_embryo_seu3d,
Gm26561,-0.1047243556975836,0.0290267022123587,0.3980099502487562,Gut,digital_mouse_embryo_seu3d,
Lars2,-0.1190251328749365,0.0294022530593065,0.1840796019900497,Gut,digital_mouse_embryo_seu3d,
epsilonTry,0.7886218,0.1117251658650072,0.0049751243781094,midgut,flysta3d_drosophila,
deltaTry,0.5323342,0.194475035801926,0.0149253731343283,midgut,flysta3d_drosophila,
Jon99Ciii,0.5074446,0.1222405997807275,0.0049751243781094,midgut,flysta3d_drosophila,
Jon99Cii,0.45527935,0.1293266644534947,0.0049751243781094,midgut,flysta3d_drosophila,
Jon25Bii,0.44626898,0.1147854106820131,0.0199004975124378,midgut,flysta3d_drosophila,
CG18180,0.38569272,0.0851720805744545,0.0049751243781094,midgut,flysta3d_drosophila,
Lcp65Ag3,-0.24220085,0.046185040594404,0.0049751243781094,midgut,flysta3d_drosophila,
CG8997,-0.24706858,0.0749963351118257,0.0149253731343283,midgut,flysta3d_drosophila,
CG31343,-0.28175542,0.0711232126529281,0.0049751243781094,midgut,flysta3d_drosophila,
Nplp2,-0.28486204,0.0275882234034448,0.0049751243781094,midgut,flysta3d_drosophila,
CG34282,-0.31708497,0.09352362148647,0.5970149253731343,midgut,flysta3d_drosophila,
LManVI,-0.34907803,0.0790379577457005,0.0049751243781094,midgut,flysta3d_drosophila,
epsilonTry,0.59301066,0.0407104710254874,0.9303482587064676,epidermis,flysta3d_drosophila,
pre-rRNA:CR45856,0.4274829,0.0449992555477607,0.1243781094527363,epidermis,flysta3d_drosophila,
betaTry,0.3194104,0.0240942490149754,0.9253731343283582,epidermis,flysta3d_drosophila,
Lcp65Ac,0.30283955,0.0961530817769909,0.0099502487562189,epidermis,flysta3d_drosophila,
TwdlO,0.25410533,0.0613020911911734,0.965174129353234,epidermis,flysta3d_drosophila,
CG13230,0.25217652,0.0275682498526887,0.4278606965174129,epidermis,flysta3d_drosophila,
Lcp65Ag3,-0.32959056,0.0769035764481668,0.0049751243781094,epidermis,flysta3d_drosophila,
CG30457,-0.3483262,0.0536462200627252,0.1641791044776119,epidermis,flysta3d_drosophila,
CG14300,-0.3536303,0.0170127957129077,0.0149253731343283,epidermis,flysta3d_drosophila,
CG42305,-0.37226057,0.0542178883697971,0.0099502487562189,epidermis,flysta3d_drosophila,
Lcp65Ag1,-0.4169557,0.0642603166612977,0.0049751243781094,epidermis,flysta3d_drosophila,
CG34282,-0.6563934,0.021304732079134,0.0348258706467661,epidermis,flysta3d_drosophila,
pre-rRNA:CR45856,0.5422446,0.0787503667073141,0.0049751243781094,carcass,flysta3d_drosophila,
epsilonTry,0.42005897,0.0759347779939606,0.0895522388059701,carcass,flysta3d_drosophila,
betaTry,0.29642272,0.0409042929491929,0.0049751243781094,carcass,flysta3d_drosophila,
Jon25Bii,0.19528604,0.069177773186471,0.0597014925373134,carcass,flysta3d_drosophila,
18SrRNA-Psi:CR41602,0.15194869,0.0342037898266079,0.0099502487562189,carcass,flysta3d_drosophila,
Obp28a,0.14059743,0.010904529341375,0.5373134328358209,carcass,flysta3d_drosophila,
RpS3,-0.21234119,0.0421712088648385,0.0199004975124378,carcass,flysta3d_drosophila,
Lcp65Ag1,-0.22472256,0.0408971739379163,0.0049751243781094,carcass,flysta3d_drosophila,
RpS27,-0.24517447,0.0341101956116082,0.0348258706467661,carcass,flysta3d_drosophila,
CG13545,-0.2845292,0.0899147029414521,0.044776119402985,carcass,flysta3d_drosophila,
Nplp2,-0.29607338,0.0658045958892416,0.2238805970149253,carcass,flysta3d_drosophila,
CG34282,-0.38631022,0.0574270160454276,0.9402985074626866,carcass,flysta3d_drosophila,
Sgs7,2.2999184,0.0534518703424934,0.3432835820895522,fat body,flysta3d_drosophila,
Sgs8,1.9703752,0.0506978325591085,0.3134328358208955,fat body,flysta3d_drosophila,
Sgs5,1.7437282,0.0525849133986056,0.3482587064676617,fat body,flysta3d_drosophila,
Sgs3,1.5002092,0.0491192216778342,0.3681592039800995,fat body,flysta3d_drosophila,
CG7606,1.4581134,0.0319788759402208,0.373134328358209,fat body,flysta3d_drosophila,
CG12310,1.0293769,0.0554669841789805,0.8258706467661692,fat body,flysta3d_drosophila,
deltaTry,-0.5947057,0.0872440927669098,0.0149253731343283,fat body,flysta3d_drosophila,
betaTub85D,-0.62263775,0.0270955009531308,0.1293532338308457,fat body,flysta3d_drosophila,
CG34168,-0.6321349,0.0287322463770129,0.3582089552238806,fat body,flysta3d_drosophila,
CG9682,-0.6522999,0.0612896372991232,0.0099502487562189,fat body,flysta3d_drosophila,
CG14302,-0.70848143,0.0791756981472165,0.0099502487562189,fat body,flysta3d_drosophila,
Jon65Aiv,-0.7135782,0.0775464131470733,0.0199004975124378,fat body,flysta3d_drosophila,
CG13071,0.5139538,0.0453948236321575,0.0099502487562189,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG42540,0.3148468,0.0189344595291529,0.9601990049751244,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
VGlut,0.2948124,0.0322724924628346,0.0199004975124378,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG8369,0.29378444,0.0243198575317536,0.3980099502487562,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
RpL15,0.23693156,0.0254473423629233,0.044776119402985,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
Obp44a,0.2195592,0.0693968195077491,0.2338308457711442,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:CR40469,-0.28316236,0.0634996400684468,0.7810945273631841,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG7214,-0.30710793,0.0453897611411025,0.7064676616915423,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
18SrRNA-Psi:CR41602,-0.32841754,0.0346973802425524,0.900497512437811,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:CR34335,-0.3410313,0.0657390802966547,0.7512437810945274,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
pre-rRNA:CR45856,-0.55784106,0.0564161816595078,0.6517412935323383,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
lncRNA:noe,-0.7014444,0.0631855167559087,0.1592039800995024,CNS primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
CG9568,0.51917255,0.212393783849577,0.0199004975124378,midgut primordium,flysta3d_v2_drosophila,PUPA-72h_cellbin
