interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
l3,SMESG000057659.1,0.050258256,0.10182713,-0.051568873,,
l3,SMESG000035357.1,0.054898556,0.10647391,-0.05157535,,
l3,SMESG000005286.1,0.034180734,0.08580398,-0.051623244,,
l3,SMESG000057944.1,0.07293673,0.12458003,-0.051643305,,
l3,SMESG000044681.1,0.11587566,0.16752133,-0.051645666,,
l3,SMESG000027204.1,0.14868417,0.20036836,-0.051684186,,
l3,SMESG000061711.1,0.043657344,0.09541788,-0.051760536,,
l3,SMESG000033587.1,0.053852834,0.10567262,-0.051819786,,
l3,SMESG000081288.1,0.06319867,0.11504626,-0.051847592,,
l3,SMESG000032629.1,0.042546272,0.094456434,-0.051910162,,
l3,SMESG000000928.1,0.080648735,0.13267154,-0.0520228,,
l3,SMESG000016907.1,0.03607605,0.08820747,-0.05213142,,
l3,SMESG000081058.1,0.05045435,0.1027084,-0.05225405,,
l3,SMESG000016697.1,0.037252482,0.08964954,-0.05239706,,
l3,SMESG000062609.1,0.106529966,0.15910938,-0.052579418,,
l3,SMESG000019717.1,0.04136986,0.09405581,-0.05268595,,
l3,SMESG000039168.1,0.0404549,0.09317464,-0.052719735,,
l3,SMESG000056251.1,0.053591456,0.10631359,-0.052722137,,
l3,SMESG000059427.1,0.035487875,0.08828757,-0.052799694,,
l3,SMESG000002914.1,0.033657897,0.08652504,-0.05286714,,
l3,SMESG000023352.1,0.05574816,0.10863706,-0.052888896,,
l3,SMESG000077696.1,0.03862496,0.09157226,-0.0529473,,
l3,SMESG000013661.1,0.047644064,0.10062546,-0.0529814,,
l3,SMESG000049997.1,0.043526657,0.09653965,-0.05301299,,
l3,SMESG000034945.1,0.038232826,0.09141213,-0.0531793,,
l3,SMESG000075974.1,0.040258855,0.0934951,-0.053236246,,
l3,SMESG000007855.1,0.052545734,0.10591309,-0.053367354,,
l3,SMESG000020746.1,0.03483432,0.08820747,-0.053373147,,
l3,SMESG000081906.1,0.039213143,0.09261382,-0.05340068,,
l3,SMESG000010804.1,0.036468204,0.08988991,-0.053421702,,
l3,SMESG000042680.1,0.065420836,0.11897196,-0.053551123,,
l3,SMESG000065324.1,0.04267699,0.09645935,-0.053782362,,
l3,SMESG000026855.1,0.045879465,0.09966401,-0.053784546,,
l3,SMESG000026692.1,0.056532394,0.11031943,-0.053787034,,
l3,SMESG000071444.1,0.062871955,0.11672871,-0.053856753,,
l3,SMESG000009142.1,0.047709398,0.10158683,-0.053877436,,
l3,SMESG000027962.1,0.04450698,0.09846226,-0.053955283,,
l3,SMESG000016275.1,0.04032419,0.09437639,-0.054052204,,
l3,SMESG000066903.1,0.03561857,0.089729674,-0.054111104,,
l3,SMESG000024322.1,0.039932057,0.09405588,-0.054123826,,
l3,SMESG000063577.1,0.039670642,0.09381554,-0.0541449,,
l3,SMESG000002848.1,0.041892752,0.096058786,-0.054166034,,
l3,SMESG000011657.1,0.058689147,0.113043375,-0.054354228,,
l3,SMESG000021046.1,0.040062763,0.09445651,-0.054393746,,
l3,SMESG000069590.1,0.03790603,0.092373535,-0.054467507,,
l3,SMESG000057816.1,1.2944905,1.3489743,-0.05448389,,
l3,SMESG000060723.1,0.17182039,0.22640559,-0.054585204,,
l3,SMESG000081273.1,0.07515891,0.12978755,-0.05462864,,
l3,SMESG000049071.1,0.03659893,0.09125185,-0.05465292,,
l3,SMESG000003437.1,0.04555264,0.10030481,-0.05475217,,
l3,SMESG000020515.1,0.045814052,0.10062545,-0.054811396,,
l3,SMESG000005268.1,0.04104312,0.0958986,-0.054855477,,
l3,SMESG000007797.1,0.08881829,0.14380744,-0.05498915,,
l3,SMESG000031788.1,0.872588,0.9276541,-0.05506611,,
l3,SMESG000057004.1,0.09306639,0.14821374,-0.055147357,,
l3,SMESG000010516.1,0.03313505,0.088447794,-0.055312745,,
l3,SMESG000024235.1,0.047774777,0.10310896,-0.05533418,,
l3,SMESG000071508.1,0.057774156,0.11312343,-0.055349275,,
l3,SMESG000073542.1,0.043722708,0.09910326,-0.05538055,,
l3,SMESG000004195.1,0.04836297,0.103830084,-0.055467114,,
l3,SMESG000017118.1,0.04535662,0.10086585,-0.05550923,,
