gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd,interface
Pcsk1n,0.10458875,0.100516096,0.0040726513,,,Cavity
Bcl11a,0.072021626,0.06795513,0.004066497,,,Cavity
Cse1l,0.1053456,0.10128048,0.0040651187,,,Cavity
Dnajc15,0.093726076,0.08966586,0.0040602162,,,Cavity
Fndc3a,0.05604932,0.0520151,0.004034221,,,Cavity
Luc7l2,0.1470366,0.1430037,0.004032895,,,Cavity
Gm26510,0.8374932,0.8334618,0.00403136,,,Cavity
Far1,0.0785137,0.07448978,0.004023917,,,Cavity
Fcrla,0.10269608,0.098675966,0.004020117,,,Cavity
Cwc15,0.103294596,0.09928585,0.0040087476,,,Cavity
Eif3m,0.112403326,0.10839926,0.0040040687,,,Cavity
Tmem14c,0.19909449,0.19509226,0.0040022284,,,Cavity
Ptbp2,0.09228497,0.08828975,0.0039952174,,,Cavity
Stx18,0.08669377,0.082700424,0.0039933473,,,Cavity
Myef2,0.070186615,0.06621311,0.0039735064,,,Cavity
Atp6v1d,0.08190041,0.07794177,0.0039586425,,,Cavity
Rdx,0.15143959,0.1474847,0.0039548874,,,Cavity
Zfp266,0.07943993,0.07550072,0.0039392114,,,Cavity
Marcksl1,0.31164935,0.30772418,0.0039251745,,,Cavity
Cnot7,0.06457024,0.06065217,0.0039180703,,,Cavity
Ltbp1,0.08594746,0.08203079,0.0039166734,,,Cavity
Eef1e1,0.054798156,0.050896052,0.0039021038,,,Cavity
Crebbp,0.12473973,0.12084508,0.0038946494,,,Cavity
Cul3,0.1053776,0.10148496,0.0038926378,,,Cavity
Pbx1,0.19315165,0.18926637,0.003885284,,,Cavity
Dnah14,0.14870563,0.14483756,0.0038680732,,,Cavity
Wsb1,0.09685093,0.09298296,0.003867969,,,Cavity
Maea,0.12199035,0.11813688,0.00385347,,,Cavity
C1d,0.09046624,0.08661509,0.0038511455,,,Cavity
Cct7,0.43312383,0.42928606,0.0038377643,,,Cavity
Sptssa,0.101757206,0.09792106,0.0038361475,,,Cavity
Med10,0.09285338,0.08903149,0.0038218945,,,Cavity
