interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
1-muscle,Emc10,0.57726276,0.5391464,0.038116336,,
1-muscle,Pkn1,0.24308822,0.20501538,0.03807284,,
1-muscle,Rps14,3.5442014,3.5061424,0.038058996,,
1-muscle,Poglut1,0.40917298,0.3712229,0.03795007,,
1-muscle,Eif3f,1.5631987,1.5252595,0.03793919,,
1-muscle,Fbln1,0.8428669,0.8049306,0.03793627,,
1-muscle,Prelid1,1.2280531,1.1901246,0.037928462,,
1-muscle,Dkk2,0.47006792,0.4321503,0.037917614,,
1-muscle,Hmgn3,0.43885717,0.4010141,0.03784308,,
1-muscle,Prkcsh,0.56644905,0.52871096,0.037738085,,
1-muscle,Ing1,0.3665762,0.32896546,0.03761074,,
1-muscle,Ptprk,0.16530222,0.12773797,0.037564248,,
1-muscle,Sars,0.57426816,0.53670955,0.037558615,,
1-muscle,Pskh1,0.17910181,0.14160755,0.037494257,,
1-muscle,S1pr3,0.5346751,0.49721277,0.037462354,,
1-muscle,Pdpn,0.2720922,0.23466821,0.037423983,,
1-muscle,Gpc4,0.28841326,0.25118598,0.037227273,,
1-muscle,Paip1,0.41296583,0.37576723,0.037198603,,
1-muscle,Tcf4,1.2169088,1.1797467,0.037162066,,
1-muscle,Maz,0.60754186,0.57039374,0.037148118,,
1-muscle,Tcerg1,0.41976562,0.38269895,0.03706667,,
1-muscle,Rpl29,2.8624022,2.8253589,0.037043333,,
1-muscle,Myo18a,0.19664437,0.15969415,0.036950216,,
1-muscle,Ccni,0.71541476,0.67851126,0.0369035,,
1-muscle,Ociad1,0.4928867,0.45599592,0.036890775,,
1-muscle,Eif3e,1.261646,1.2248182,0.036827803,,
1-muscle,Dlc1,0.2065057,0.16968766,0.036818042,,
1-muscle,Scara3,0.2796787,0.24292387,0.03675483,,
1-muscle,Acly,0.61506087,0.57832766,0.03673321,,
1-muscle,Rps15,3.1933315,3.1566591,0.036672354,,
1-muscle,Rbmx,0.37441626,0.3377812,0.03663507,,
1-muscle,Fam213b,0.17042196,0.13382734,0.036594614,,
1-muscle,Rfc2,0.51963687,0.4831469,0.036489964,,
1-muscle,Yeats4,0.30563876,0.26917797,0.036460787,,
1-muscle,Gcn1l1,0.3418424,0.3054013,0.036441118,,
1-muscle,Bag1,0.78729856,0.7508983,0.03640026,,
1-muscle,Baz1b,0.6031359,0.5668006,0.03633529,,
1-muscle,Osr2,0.22255702,0.18626572,0.0362913,,
1-muscle,Nfix,0.31354418,0.27737576,0.036168426,,
1-muscle,Nop53,0.6825014,0.64649844,0.036002934,,
1-muscle,Paox,0.08581684,0.049897008,0.03591983,,
1-muscle,Ddx54,0.39275667,0.35684192,0.03591475,,
1-muscle,Tufm,0.5322252,0.4963227,0.0359025,,
1-muscle,Dmrt2,0.1967692,0.16096489,0.0358043,,
1-muscle,Tmsb15b2,0.057775754,0.022134641,0.03564111,,
1-muscle,Ptdss1,0.23466834,0.19906767,0.035600677,,
1-muscle,Ttc1,0.26025784,0.2247214,0.03553644,,
